trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,0,50,0,202.45524769974872,,,,,,,,,202.44106560014188,202.45524769974872,202.9561626999639,203.45646690018475,204.4577568997629,204.4416311001405,204.4416467999108,204.4577568997629,206.45975250005722,206.44377319980413,"['i', 'l']","[0.31056710006669164, 0.8504727003164589]","[0.0755358999595046, 0.05946319969370961]",1,OHNA,"['i', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
51,0,51,0,206.45975250005722,,,,,,,,,206.44492270005867,206.45975250005722,206.9603006998077,207.46086490014568,208.4620861997828,208.44599079992622,208.44600909994915,208.4620861997828,210.46401689993218,210.4482152001001,"['q', 'l']","[0.5786544000729918, 1.2844339003786445]","[0.08796030003577471, 0.08209289982914925]",2,QDST,"['q', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
52,0,52,0,210.46401689993218,,,,,,,,,210.44932110002264,210.46401689993218,210.9646410997957,211.4657641001977,212.46646089991555,212.4506359999068,212.45065640006214,212.46646089991555,,214.45234999991953,"['a', 'o']","[1.1417730003595352, 1.436133900191635]","[0.09070939989760518, 0.09215410007163882]",1,YAKD,"['a', 'o']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
53,0,53,0,214.46861970005557,,,,,,,,,214.45356740010902,214.46861970005557,214.9693698999472,215.45342339994386,216.45423449994996,216.4383252998814,216.43834109976888,216.45423449994996,218.45620100013912,218.4402276999317,"['p', 'r']","[1.1699010003358126, 1.4953610002994537]","[0.0742064998485148, 0.08549189986661077]",0,RROR,"['p', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
54,0,54,0,218.45620100013912,,,,,,,,,218.44134309981018,218.45620100013912,218.95693780016154,219.45746510010213,220.458815400023,220.44268599990755,220.44270019978285,220.458815400023,222.46100550005212,222.4445258001797,"['f', 'r']","[0.24201619997620583, 0.4312529996968806]","[0.09851299971342087, 0.07601509988307953]",1,FPKX,"['f', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
55,0,55,0,222.46100550005212,,,,,,,,,222.4453348000534,222.46100550005212,222.9614134998992,223.46168980002403,224.46260009985417,224.44691450009122,224.4469296000898,224.46260009985417,226.4649819000624,226.4493229999207,"['e', 'p']","[0.981137600261718, 1.118235600180924]","[0.08760189963504672, 0.0588255999609828]",2,WVIE,"['e', 'p']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
56,0,56,0,226.4649819000624,,,,,,,,,226.45100989984348,226.4649819000624,226.96576370019466,227.46650329977274,228.46725959982723,228.45166100002825,228.4516770998016,228.46725959982723,,230.45311339991167,None,,,0,SUUJ,None,False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
57,0,57,0,230.46936899982393,,,,,,,,,230.45372670004144,230.46936899982393,230.97035840013996,231.454236399848,232.45565290004015,232.43932119989768,232.43933549989015,232.45565290004015,234.45746740000322,234.441239700187,"['v', 't']","[0.2864157003350556, 0.5260711000300944]","[0.07030809996649623, 0.06813300028443336]",2,VTKR,"['v', 't']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
58,0,58,0,234.45746740000322,,,,,,,,,234.4424008000642,234.45746740000322,234.95789569988847,235.4583943001926,236.45896960003302,236.44332630001009,236.4433470000513,236.45896960003302,238.46193110011518,238.4455229002051,"['c', 'l']","[0.5398107003420591, 0.9280730001628399]","[0.07959059998393059, 0.03565810015425086]",2,OLXG,"['c', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
59,0,59,0,238.46193110011518,,,,,,,,,238.44637650018558,238.46193110011518,238.96257360000163,239.46252259984612,240.46375779993832,240.44855940015987,240.44857389992103,240.46375779993832,242.4660585001111,242.4503476000391,['n'],[1.1997134000994265],[0.08856450021266937],2,EKXQ,['n'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
60,0,60,0,242.4660585001111,,,,,,,,,242.45128870010376,242.4660585001111,242.9666792000644,243.46725519979373,244.4682689998299,244.45248189987615,244.4524976001121,244.4682689998299,,246.45357100013644,"['r', 'i']","[0.910687199793756, 1.1976352999918163]","[0.08969350019469857, 0.08092179987579584]",0,RIDR,"['r', 'i']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
61,0,61,0,246.4705813997425,,,,,,,,,246.4551735999994,246.4705813997425,246.97098799981177,247.45503599988297,248.45615650014952,248.44032019982114,248.44033790007234,248.45615650014952,250.45831689983606,250.44235150003806,"['d', 'e']","[0.8837946001440287, 1.1000294000841677]","[0.08533350005745888, 0.08654540032148361]",1,WZYQ,"['d', 'e']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
62,0,62,0,250.45831689983606,,,,,,,,,250.44318810012192,250.45831689983606,250.95932879997417,251.45937669975683,252.460562299937,252.44466840010136,252.44468339998275,252.460562299937,254.46247769985348,254.4467152999714,"['e', 'd']","[0.4031559997238219, 0.9113579001277685]","[0.08698540041223168, 0.07427169987931848]",0,IJHR,"['e', 'd']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
63,0,63,0,254.46247769985348,,,,,,,,,254.44752269983292,254.46247769985348,254.96329129999503,255.46364980004728,256.46466560009867,256.44890430010855,256.44892229977995,256.46466560009867,258.4669429999776,258.45116510009393,"['e', 'b']","[0.3210573000833392, 0.766043399926275]","[0.09409729996696115, 0.08615519991144538]",2,FZIY,"['e', 'b']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
64,0,64,0,258.4669429999776,,,,,,,,,258.452297099866,258.4669429999776,258.9675214001909,259.4515629000962,260.4528892999515,260.4368719998747,260.4368869997561,260.4528892999515,262.45491989981383,262.4389992998913,"['b', 'q']","[0.6627295003272593, 0.8526085000485182]","[0.08249259972944856, 0.08282320015132427]",1,BQKE,"['b', 'q']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
65,0,65,0,262.45491989981383,,,,,,,,,262.4401921001263,262.45491989981383,262.9553596000187,263.4560350999236,264.45689840009436,264.44109269976616,264.441107199993,264.45689840009436,266.4591418001801,266.44424889981747,['q'],[0.7194071998819709],[0.08463979978114367],0,GBJP,['q'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
66,0,66,0,266.4591418001801,,,,,,,,,266.4451299998909,266.4591418001801,266.95977619988844,267.4605000000447,268.46147629991174,268.4459329000674,268.44594680005684,268.46147629991174,270.46357889985666,270.44769509974867,"['w', 'q', 'e']","[0.04716859990730882, 0.27454369980841875, 0.7395104998722672]","[0.10861240001395345, 0.08270310005173087, 0.08598140021786094]",0,WQRC,"['w', 'q', 'e']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
67,0,67,0,270.46357889985666,,,,,,,,,270.4487943002023,270.46357889985666,270.96416079998016,271.46470770007,272.4662048998289,272.45021899975836,272.45023680012673,272.4662048998289,274.46784969978034,274.4522004998289,"['c', 'x', 'n']","[0.42731619998812675, 0.780910300090909, 1.2376764002256095]","[0.07178799994289875, 0.06549099972471595, 0.07572839967906475]",0,CXNW,"['c', 'x', 'n']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
68,0,68,0,274.46784969978034,,,,,,,,,274.4537590998225,274.46784969978034,274.9686420997605,275.452680000104,276.45352880004793,276.4379513999447,276.4379722997546,276.45352880004793,278.4556296998635,278.4397138999775,"['u', 'e']","[0.8657812001183629, 1.5387305999174714]","[0.0826554000377655, 0.100250200368464]",2,DOVA,"['u', 'e']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
69,0,69,0,278.4556296998635,,,,,,,,,278.4405791000463,278.4556296998635,278.9563385997899,279.45694730011746,280.45806840015575,280.44247179990634,280.4424911001697,280.45806840015575,282.4602072001435,282.44417010014877,"['d', 'h']","[0.10831760009750724, 1.2653199001215398]","[0.09540579980239272, 0.07412290014326572]",1,EDFK,"['d', 'h']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
70,0,70,0,282.4602072001435,,,,,,,,,282.44505630014464,282.4602072001435,282.96089279977605,283.4614877998829,284.4622210999951,284.4465246000327,284.4465453000739,284.4622210999951,286.46457890002057,286.44953469978645,"['j', 'g']","[0.6149051999673247, 0.8757682000286877]","[0.07637530006468296, 0.07746819965541363]",1,JGAK,"['j', 'g']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
71,0,71,0,286.46457890002057,,,,,,,,,286.45040059974417,286.46457890002057,286.96522040013224,287.46555780014023,288.46670620003715,288.4512038999237,288.4512237999588,288.46670620003715,,290.4524747999385,"['e', 'd']","[0.3631171998567879, 0.6646678997203708]","[0.09044829988852143, 0.06826750002801418]",0,DCJP,"['e', 'd']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
72,0,72,0,290.468952300027,,,,,,,,,290.45380670018494,290.468952300027,290.9695255002007,291.45343839982525,292.45463809976354,292.4385322998278,292.43854730017483,292.45463809976354,294.4565193997696,294.44108959985897,"['c', 'j']","[0.17634870018810034, 0.6573375002481043]","[0.07921939995139837, 0.07063179975375533]",0,CJZQ,"['c', 'j']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
73,0,73,0,294.4565193997696,,,,,,,,,294.4422645000741,294.4565193997696,294.95741900010034,295.4581324001774,296.45906279981136,296.44283920014277,296.44285340001807,296.45906279981136,298.4611345999874,298.44525500014424,"['c', 'j']","[1.6878174003213644, 1.863162100315094]","[0.08626409992575645, 0.06873899977654219]",0,GGYC,"['c', 'j']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
74,0,74,0,298.4611345999874,,,,,,,,,298.44640079978853,298.4611345999874,298.9616653001867,299.4617491001263,300.4635072001256,300.4473775997758,300.4473975999281,300.4635072001256,302.46555730002,302.44968880014494,"['l', 'p']","[0.5636407998390496, 0.8948256997391582]","[0.08217049995437264, 0.06632290035486221]",2,ATLL,"['l', 'p']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
75,0,75,0,302.46555730002,,,,,,,,,302.4506101999432,302.46555730002,302.9658319000155,303.4666397999972,304.46769660012797,304.45207619993016,304.45209470018744,304.46769660012797,,306.45347619988024,['b'],[0.49953689984977245],[0.0985070001333952],0,BADY,['b'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
76,0,76,0,306.46997099975124,,,,,,,,,306.45443989988416,306.46997099975124,306.97055729990825,307.4546552998945,308.4553936999291,308.43974789977074,308.43976330012083,308.4553936999291,310.4575840998441,310.44194980012253,"['s', 'd']","[0.01821970008313656, 0.22804499976336956]","[0.09617399983108044, 0.07252180017530918]",1,SDYI,"['s', 'd']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
77,0,77,0,310.4575840998441,,,,,,,,,310.44277200009674,310.4575840998441,310.958457400091,311.45819979999214,312.4597224998288,312.4439868000336,312.4440024998039,312.4597224998288,314.4620920000598,314.44622860010713,"['e', 'k']","[0.2859172001481056, 0.748832399956882]","[0.09245399991050363, 0.05852500023320317]",2,FXTM,"['e', 'k']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
78,0,78,0,314.4620920000598,,,,,,,,,314.44735189992934,314.4620920000598,314.9627074999735,315.46338880015537,316.46482970006764,316.44854199979454,316.44855650002137,316.46482970006764,318.46655659982935,318.45073879975826,"['e', 'r']","[0.3786081001162529, 0.7533038998953998]","[0.08517730003222823, 0.08363030012696981]",0,EVEY,"['e', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
79,0,79,0,318.46655659982935,,,,,,,,,318.4518808000721,318.46655659982935,318.9676096998155,319.4671026999131,,320.452189899981,320.45220900001004,320.46888019982725,,322.4544393001124,"['u', 'z']","[0.6420619999989867, 0.9335420997813344]","[0.05842519970610738, 0.08548679994419217]",1,UZHH,"['u', 'z']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
80,0,80,0,322.47083880007267,,,,,,,,,322.4553390000947,322.47083880007267,322.97157010016963,323.45540829980746,324.4565245998092,324.4403180000372,324.4403798999265,324.4565245998092,326.4587420998141,326.44338369974867,"['l', 'm', 'e', 'u']","[0.21797329979017377, 0.44557859981432557, 0.6929660001769662, 1.2195843998342752]","[0.07100070035085082, 0.07502680039033294, 0.09630619967356324, 0.07690820004791021]",2,ZEHN,"['l', 'm', 'e', 'u']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
81,0,81,0,326.4587420998141,,,,,,,,,326.4445688999258,326.4587420998141,326.9591914000921,327.45965520013124,328.4609991000034,328.4451900999993,328.4452049997635,328.4609991000034,330.4633292998187,330.44711309997365,"['o', 'm', 'r']","[0.15760509995743632, 0.4168481999076903, 0.8333801999688148]","[0.08199820015579462, 0.07711660023778677, 0.09012039983645082]",0,UPQM,"['o', 'm', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
82,0,82,0,330.4633292998187,,,,,,,,,330.44821560010314,330.4633292998187,330.96356619987637,331.46395550016314,332.46520170010626,332.449235400185,332.44925360009074,332.46520170010626,334.46767160017043,334.45155570004135,"['r', 'p']","[0.3874006001278758, 0.6161124999634922]","[0.09236939996480942, 0.08571600029245019]",0,RPVG,"['r', 'p']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
83,0,83,0,334.46767160017043,,,,,,,,,334.45250240014866,334.46767160017043,334.9680372001603,335.4521284000948,336.45276209991425,336.437433199957,336.4374548001215,336.45276209991425,338.4556154999882,338.4392928001471,"['m', 't']","[0.17644800012931228, 0.6403874000534415]","[0.042135899886488914, 0.0818567001260817]",2,MTUG,"['m', 't']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
84,0,84,0,338.4556154999882,,,,,,,,,338.4401595997624,338.4556154999882,338.95579760009423,339.45576049992815,340.4576233001426,340.4416454997845,340.4416609997861,340.4576233001426,342.45947219990194,342.4438257999718,['a'],[0.24877380020916462],[0.08282289979979396],0,KRSP,['a'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
85,0,85,0,342.45947219990194,,,,,,,,,342.44466610020027,342.45947219990194,342.96023490000516,343.4603813998401,344.46261030016467,344.44599420018494,344.44600989995524,344.46261030016467,346.4638832001947,346.4482309999876,"['p', 'u']","[0.05626659980043769, 0.5184415997937322]","[0.07853309996426105, 0.07321600010618567]",1,IXPU,"['p', 'u']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
86,0,86,0,346.4638832001947,,,,,,,,,346.4494146001525,346.4638832001947,346.9650300000794,347.46517239976674,348.4665582999587,348.45097899995744,348.4509963998571,348.4665582999587,,350.4519328000024,"['w', 'o']","[0.06439970014616847, 0.9290979998186231]","[0.12079469999298453, 0.08222230011597276]",1,WYOA,"['w', 'o']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
87,0,87,0,350.4683910999447,,,,,,,,,350.45281459996477,350.4683910999447,350.96919689979404,351.45259749982506,352.45382679998875,352.43791719991714,352.437933600042,352.45382679998875,354.4560002000071,354.4404211998917,['z'],[0.43265620013698936],[0.08416800014674664],2,TVNR,['z'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
88,0,88,0,354.4560002000071,,,,,,,,,354.4416474997997,354.4560002000071,354.9567772997543,355.45720240008086,356.4578693998046,356.44223459996283,356.4422503998503,356.4578693998046,358.4604853000492,358.444753699936,None,,,1,DXQQ,None,False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
89,0,89,0,358.4604853000492,,,,,,,,,358.4453472001478,358.4604853000492,358.96129730017856,359.4613550999202,360.46286199986935,360.4471040000208,360.44711849978194,360.46286199986935,362.46487260004506,362.44893690012395,"['y', 'u']","[0.14037089981138706, 0.30073009990155697]","[0.07876490009948611, 0.08402239996939898]",2,RIGI,"['y', 'u']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
90,0,90,0,362.46487260004506,,,,,,,,,362.4499781001359,362.46487260004506,362.96562300017104,363.4656076999381,364.46730689983815,364.45101699978113,364.45103619992733,364.46730689983815,,366.4528589001857,['h'],[0.5320345000363886],[0.0700621004216373],1,YVZD,['h'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
91,0,91,0,366.46901590004563,,,,,,,,,366.45380020001903,366.46901590004563,366.96996170002967,367.45349590014666,368.4550111000426,368.43906470015645,368.4390786997974,368.4550111000426,370.45714779989794,370.44146100012586,"['a', 'm']","[0.47885960014536977, 1.059707300271839]","[None, 0.1317922999151051]",1,AMVM,"['a', 'm']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
92,0,92,0,370.45714779989794,,,,,,,,,370.44253080012277,370.45714779989794,370.9577389000915,371.45790919987485,372.4591239001602,372.44359060004354,372.4436057000421,372.4591239001602,374.4618258997798,374.4460812998004,['o'],[0.28698650002479553],[0.08904109988361597],0,ZLWI,['o'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
93,0,93,0,374.4618258997798,,,,,,,,,374.44694849988446,374.4618258997798,374.9624056001194,375.46230870019644,376.4635942000896,376.4481234000996,376.4481434999034,376.4635942000896,378.4660355001688,378.45013580005616,['m'],[0.0813672998920083],[0.07066549966111779],2,NGMI,['m'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
94,0,94,0,378.4660355001688,,,,,,,,,378.45125090004876,378.4660355001688,378.96684039989486,379.4504292998463,380.4516428001225,380.4356447001919,380.4356598001905,380.4516428001225,382.4538908000104,382.4377935999073,"['r', 's']","[0.5474195997230709, 0.8523393999785185]","[0.09193100035190582, 0.09833559999242425]",2,RSUI,"['r', 's']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
95,0,95,0,382.4538908000104,,,,,,,,,382.4386241999455,382.4538908000104,382.95389659982175,383.45500429999083,384.45575459999964,384.440106799826,384.4401215999387,384.45575459999964,386.45814940007403,386.4424319001846,['c'],[0.8855425999499857],[0.07150070043280721],1,MDOW,['c'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
96,0,96,0,386.45814940007403,,,,,,,,,386.4433165998198,386.45814940007403,386.95915829995647,387.45912729995325,388.4601805000566,388.4446340999566,388.4446482001804,388.4601805000566,390.4631070997566,390.44727119989693,"['c', 'x']","[0.5719248997047544, 0.8409361997619271]","[0.08268380025401711, 0.07023259997367859]",1,CXNX,"['c', 'x']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
97,0,97,0,390.4631070997566,,,,,,,,,390.4483382999897,390.4631070997566,390.9631523997523,391.4636438000016,392.46478669997305,392.4488908997737,392.44890820002183,392.46478669997305,394.4670267999172,394.4511528001167,"['l', 'd', 'u']","[0.25211399979889393, 1.6212295000441372, 1.8211682997643948]","[0.0927606001496315, 0.08980139996856451, 0.08468430023640394]",0,LDDO,"['l', 'd', 'u']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
98,0,98,0,394.4670267999172,,,,,,,,,394.45199600001797,394.4670267999172,394.96740419976413,395.45139139983803,396.4522767998278,396.4365087999031,396.43652920005843,396.4522767998278,398.4545172001235,398.4386641997844,"['o', 'f']","[0.05001539969816804, 0.615578499622643]","[0.07243990013375878, 0.08331880019977689]",0,OFUA,"['o', 'f']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
99,0,99,0,398.4545172001235,,,,,,,,,398.43977120006457,398.4545172001235,398.9553640000522,399.45545580005273,400.4569109999575,400.44113959977403,400.4411573000252,400.4569109999575,402.4592869998887,402.4432022999972,"['j', 'e']","[0.9759808001108468, 1.0755741000175476]","[0.062191699631512165, 0.0786085999570787]",0,JVIM,"['j', 'e']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
